,wine_notes_clean
1690,This focused red delivers smoke and mineral undertones flanking the plum and currant flavors backed by moderate tannins Accents of bay leaf spice violet and black licorice create depth and interest through the energetic finish Malbec and Merlot Drink now through cases made cases imported
1691,A ripe and juicy note of Jonagold apple is layered with hints of beeswax chive blossom and almond skin in this well cut medium bodied white which is lightly chalky in texture with a saline laced finish Drink now through cases made cases imported
1692,This is laden with cassis and warmed plum compote notes infused liberally with violet and anise accents Gains depth and richness with air yet maintains a racy edge due to its mouthwatering acidity and perfectly embedded chalky spine on the finish Merlot and Cabernet Franc Best from through Tasted twice with consistent notes cases made
1693,Yellow apple ripe Bartlett pear and tangerine flavors are pure and lush set on a medium frame with crisp acidity Shows impressive focus and purity of flavor Fresh finish Drink now cases made
1694,Precision and purity are the hallmarks of this taut linear red Wild strawberry cherry stony mineral and earth notes are finely woven into the dense texture Vibrant acidity drives the lingering finish Best from through cases made cases imported
1695,A subtly perfumed floral nose of jasmine and chive blossom draws you into the glass of this creamy light to medium bodied white where mouthwatering acidity and finely knit flavors of nectarine lemon curd and stone await Drink now through cases made cases imported
1696,Blackberry and huckleberry flavors are concentrated and plump with appealing details of black tea clove and dried mint Firm tannins never get in the way firming up slightly on the finish Drink now cases made cases imported
1697,A bright and fresh style leading off with floral and bay leaf elements followed by brisk edged cassis and damson plum fruit flavors The racy mineral pierced finish shows good persistence Best from through cases made cases imported
1698,This bright and well knit red is medium to full bodied with pleasing tension and creamy tannins defining flavors of mulberry herbed olive and salty mineral Aromatic accents of wild sage and bergamot linger on the finish Drink now through cases made cases imported
1699,This combines power and grace with a ripe profile and lively acidity Flavors of cherry and currant harmonize with hints of loam underbrush and hibiscus tea Complex and fresh tasting but also firm this red is intriguingly long and inviting Blaufr nkisch Zweigelt and Pinot Noir Drink now through cases imported
1700,Maturing well this round red is a lovely example of the traditional style Orange peel dried cherry forest floor vanilla and black tea flavors mingle harmoniously over round tannins and citrusy acidity Generous but gentle lively balanced and harmonious Tempranillo and Mazuelo Drink now through cases made cases imported
1701,Powerful and structured with minerally richness to the fine edged red fruit and savory spice flavors The sleek finish offers impressive purity and clarity to the notes of hot stone flint and underbrush Best from through cases made
1702,Effusive aromas of black currant blueberry violet and iron mark this expressive red Supple and harmonious with a firm backbone of tannins that are refined and integrated Shows terrific length and complexity Best from through cases made cases imported
1703,This distinctive red throws a lot of wild sage herb and sassafras notes out first while the core of intense red currant damson plum and bitter cherry fruit waits its turn The vibrant structure is built on acidity pulling everything together through the iron streaked finish Should age wonderfully Best from through cases made
